Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Edilart Rimini,,"Via del Lupo, 61 - 47923",Rimini,RN,338 9600917,info@edilart.com,,,"imbiancature, cartongesso e controsoffitti, isolamento termo-acustico (termocappotti), stucchi e decorazioni, pavimenti in resina, ristrutturazioni",0,https://www.edilartrimini.com/,edilartrimini.com e PagineGialle via WebSearch
N.G. Color di Paolo Crescentini,,"Via Coriano, 297 - 47924",Rimini,RN,338 9608126,ngcolor@gmail.com,,,"tinteggiature interne ed esterne, imbiancature, decorazioni, stucco veneziano, cappotto termico (termocappotto), pavimenti in resina e PVC, manutenzione edifici",0,http://www.ngcolorrimini.com/,"ngcolorrimini.com, PagineGialle/Virgilio via WebSearch"
Resiniamo Srl,04286690401,"Via Flaminia Conca, 171 - 47923",Rimini,RN,335 1450501,info@resiniamo.com,,,"pavimenti in resina civili e industriali, pavimenti industriali in calcestruzzo, pavimentazioni in gomma, recupero e manutenzione pavimentazioni",0,https://www.pavimentiinresinarimini.it/,pavimentiinresinarimini.it (P.IVA 04286690401) via WebSearch
Metadecor,,"Viale Roberto Valturio, 7 - 47923",Rimini,RN,,,,,"imbiancature e tinteggiature (residenziale, commerciale, industriale), decorazioni murali, cartongesso, pavimenti in resina",0,https://metadecor-rimini.com/,metadecor-rimini.com via WebSearch
Impresa Mariani Srl,,"Via Casalecchio, 39 - 47924",Rimini,RN,0541 731206,info@mariani-costruzioni.it,,1949,"opere murarie, costruzioni e ristrutturazioni, cappotti termici (termocappotti), efficientamento energetico, adeguamento sismico, manutenzioni",0,https://mariani-costruzioni.it/,mariani-costruzioni.it via WebSearch
Edil Rimini,,"Viale P. Toscanelli, 16 - 47921",Rimini,RN,,,,,"rifacimento e ripristino facciate (condomini, hotel, privati), imbiancature, tinteggiature, lavori in cartongesso",0,https://www.edilrimini.it/,edilrimini.it via WebSearch
Artigiano Riminese,,"Viale Lisbona, 4 - 47924",Rimini,RN,347 0012647 / 370 3214748,,,,"opere murarie, intonaci di ogni tipo, ripristino facciate (riintonacatura, raschiatura, rasatura), tinteggiature, risanamenti, trattamenti antimuffa, pavimenti, ristrutturazioni interne ed esterne",0,https://www.artigianoriminese.com/,artigianoriminese.com e Virgilio aziende via WebSearch
Edil Riviera Snc di Sacchi Andrea e Ferracuti Filippo,,"Viale Luigi Settembrini, 2/A - 47923",Rimini,RN,348 2604176,,,,"rifacimento facciate, opere murarie e lavori edili",0,,PagineBianche via WebSearch
ProTetti,,"Via Poschiavo, 12 - 47924",Rimini,RN,348 1532358 / 0541 1840829,,,,"ripristino facciate, tinteggiature e cappotti termici, rifacimento e manutenzione tetti civili e industriali, impermeabilizzazioni, isolamento termico e acustico, ripristino cementi armati e balconi",0,https://www.protetti.net/,protetti.net e overplace.com via WebSearch
M.F. Srl,03302130400,"Via Zambianchi, 27 - 47811",Viserbella di Rimini,RN,0541 721117,,1,2002 (attività storica dal 1973),"tinteggiature interne ed esterne, imbiancature, cappotti termici, ripristino edifici e facciate, deumidificazione, sostituzione grondaie, pavimentazioni",6.2,https://www.imbianchinorimini.com/,imbianchinorimini.com e fatturatoitalia.it (P.IVA 03302130400) via WebSearch
