Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Claudio Finelli Imbiancatura,02901900361,"Via Nonantolana, 246",Modena,MO,059 310173 / 347 6383755,,,,"tinteggiatura interni, imbiancatura, decorazione d'interni, trattamenti antimuffa, rifacimento facciate, lavori di isolamento, cartongesso",0,https://www.imbianchinofinelli.it/,"sito aziendale imbianchinofinelli.it, Firmania, Opendi; P.IVA: imbianchinofinelli.it (sito aziendale, pagina contatti)"
Anderlini Gianni e C. Snc - Anderlini Gianni Imbiancature,00458190360,"Via Giovanni Luvini, 7 (Cognento)",Modena,MO,059 350615 / 347 7678748,anderlinigianni@tiscali.it,,,"imbiancature, tinteggiature interni ed esterni al quarzo, ai silicati e a calce, pitture decorative, pitturazioni edili, cartongesso (oltre 30 anni di esperienza)",0,https://www.anderlinigianniimbianchini.com/,"sito aziendale anderlinigianniimbianchini.com, PagineBianche, Virgilio Aziende; P.IVA: ufficiocamerale.it"
Ditta Fratelli Guarascio,,,Modena,MO,,,,,"imbiancatura, tinteggiature interne ed esterne, cartongesso, isolamento termico e acustico a cappotto, ristrutturazioni interni ed esterni (oltre 20 anni di esperienza)",0,https://www.dittafratelliguarascio.com/,sito aziendale dittafratelliguarascio.com
Imbianchini Barbati di Novi Nicola e Ventrella Francesco Snc,03114880366,"Via Barbato Zanoni, 87/A",Modena,MO,347 8505631 / 347 4214073,,,,"imbiancature, tinteggiature, verniciature",0,,"Pagine Gialle, PagineBianche, Reteimprese; P.IVA: reteimprese.it / aziende.virgilio.it"
PM Costruzioni Edili Srl,03592540367,,Modena,MO,059 5801739,info@pmcostruzioniedilisrl.it,,2014,"rifacimento facciate capannoni industriali e commerciali, isolamento a cappotto termico, edilizia industriale e civile, ristrutturazioni, opere murarie",0,https://www.pmcostruzioniedilisrl.it/,sito aziendale pmcostruzioniedilisrl.it (P.IVA 03592540367)
Project Home Srl,,,Modena,MO,,,,,"rifacimento facciate industriali e capannoni, manutenzione capannoni, ristrutturazioni chiavi in mano, edilizia residenziale e industriale, coperture, opere murarie (opera a Modena, Vignola e Sassuolo)",0,https://www.projecthsrl.it/,sito aziendale projecthsrl.it
Resinzeta Srl,03623730367,"Via Giuliano Cassiani, 188",Modena,MO,,,,,"pavimenti in resina industriali, commerciali, residenziali, sportivi e pubblici; impermeabilizzazioni in resina; resine bicomponenti e materiali compositi per rinforzi strutturali",0,https://www.resinzeta.it/,"sito aziendale resinzeta.it, Reteimprese, Edilnet; P.IVA: ufficiocamerale.it / reportaziende.it"
Resiniamo (sede di Modena),04286690401,"Corso Adriano, 1",Modena,MO,051 0216516 / 335 1450501,info@resiniamo.com,,,"pavimenti in resina, pavimentazioni industriali in resina epossidica, pavimentazioni in gomma, ripristino e manutenzione di pavimenti esistenti",0,https://www.resiniamo-modena.it/,"sito aziendale resiniamo-modena.it (pagina contatti); P.IVA: reportaziende.it (Resiniamo Srls, sede legale Cervia) / sito resiniamo-modena.it"
Consorzio Imbianchini Modena Soc. Coop. a r.l. (CIM),01000660363,"Via Imola, 80",Modena,MO,059 301378 / 348 7038337,commerciale@consorzioimbianchini.it,,,"imbiancatura, tinteggiature, ristrutturazioni, resine e decorativi; consorzio che riunisce oltre 90 aziende artigiane del settore",0,https://www.consorzioimbianchinimodena.it/,"sito aziendale consorzioimbianchinimodena.it, PagineBianche, ufficiocamerale.it (P.IVA 01000660363)"
Vera Costruzioni Srl,04027090366,"Via Cesare della Chiesa, 293",Modena,MO,348 2284530,info@veracostruzionisrl.it,19,1972,"pavimentazioni in resina, ristrutturazioni edili, opere murarie, coperture, impresa edile a Modena e provincia",0,https://veracostruzionisrl.it/,"sito aziendale veracostruzionisrl.it, Atoka, ufficiocamerale.it, Reteimprese (P.IVA 04027090366, ATECO 43.91)"
Decor Modena,00431220367,,Modena,MO,,,,,"tinteggiatura edile e civile, imbiancature, cartongesso, ripristino facciate esterne",0,https://www.decormodena.it/,sito aziendale decormodena.it; P.IVA: ufficiocamerale.it
L'Arlecchino di Giordano Giuseppe,02519010363,"Via Zamboni, 24",Campogalliano,MO,059 527636,,,,"tinteggiature, imbiancature, verniciature, stucchi decorativi, spatolato, cartongesso, controsoffitti, cappotto termico (isolamento termico), deumidificazioni, ripristino strutture in cemento armato, piccoli lavori edili (oltre 25 anni di attivita)",7.7,https://www.larlecchino.com/,"sito aziendale larlecchino.com, Coobiz, Firmania, RegistroAziende.it (P.IVA 02519010363)"
Nuova Resina,02397610359,"Via Lago Santo, 30",Carpi,MO,335 8281257,nuovaresina@gmail.com,,,"pavimenti industriali in resina epossidica e poliuretanica, resine vinilestere e poliestere; progettazione, posa e assistenza per settori automotive, logistica, alimentare, chimico, farmaceutico (oltre 16 anni di attivita)",11.1,http://www.nuovaresina.it/,sito aziendale nuovaresina.it (pagina chi-siamo); P.IVA: nuovaresina.it (sito aziendale)
F.B.I. di Boccaletti Fabio,02970510364,"Via Ugo Bassi, 12",Mirandola,MO,339 2901963,fbifabioboccaletti@hotmail.it,,,"tinteggiature civili e industriali, imbiancature, realizzazione termocappotti (cappotto termico), cartongesso, controsoffitti, trattamento legno",18.4,https://www.imbiancaturefbi.com/,"sito aziendale imbiancaturefbi.com, Pagine Gialle, Reteimprese; P.IVA: edilnet.it / informazione-aziende.it"
Resinchim Srl,03261260362,"Via dei Platani, 44/46",Castelfranco Emilia,MO,059 938326 / 059 9532369,,,,"pavimentazioni e rivestimenti in resina per edifici civili e industriali, impermeabilizzazioni in resina (clienti nei settori meccanico, alimentare, farmaceutico, automotive; attiva da oltre 20 anni)",32.4,https://resinchim.com/,"sito aziendale resinchim.com, Virgilio Aziende; P.IVA: registroaziende.it"
Bertoni Alessandro - Imbianchino Decoratore,03315800361,"Via S. Vito, 1794/A",Spilamberto,MO,338 2996343,allebertoni@libero.it,,,"imbiancature, tinteggiature edili, verniciature, velature, decorazioni interni, stucchi e marmorino, ripristino facciate esterne, cartongesso (impresa artigianale con oltre 40 anni di esperienza)",7.4,https://www.bertoniimbianchino.it/,"sito aziendale bertoniimbianchino.it (pagina contatti); P.IVA: bertoniimbianchino.it (sito aziendale, pagina contatti)"
Resinsystem Italia Srl,03397130364,"Via Dei Fabbri, 47/49/51",Spilamberto,MO,059 782793,amministrazione@resinsystemitalia.it,,,"pavimenti in resina civili e industriali (esperienza ventennale nell'applicazione della resina, certificata ISO 9001); sedi anche a Montale e Castelnuovo Rangone (MO)",0,https://www.resinsystemitalia.it/,"sito aziendale resinsystemitalia.it, Kompass, Pagine Gialle, ufficiocamerale.it (P.IVA 03397130364)"
Imbianchino Zanghirati Luca,,"Via Vandelli, 302",Maranello,MO,333 2960799,,,,"tinteggiature interne ed esterne, pitture decorative, stucco veneziano, trattamenti antimuffa e antiumidita, controsoffitti in cartongesso, decorazioni",12.2,https://www.imbianchinozanghirati.it/,"sito aziendale imbianchinozanghirati.it, Pagine Gialle, Reteimprese"
Ope Art Ristrutturazioni (Opeart),,"Viale Palermo, 54",Sassuolo,MO,0536 403760 / 338 7643295,info@opeart.net,,,"ristrutturazioni chiavi in mano, opere murarie, stucchi decorativi e cartongesso, tinteggiature e decorazioni, rivestimenti e pavimentazioni, serramenti",7,https://www.opeart.net/,sito aziendale opeart.net (pagina contatti)
Cucart SRLS Ristrutturazioni Edili,03769400361,"Viale S. Luca, 11",Sassuolo,MO,,,,,"ristrutturazioni edili, pitture, imbiancature, opere murarie, cartongesso, ristrutturazioni complete, resine, murales personalizzati, controsoffitti",0,,StarOfService (directory imprese edili Sassuolo); P.IVA: edilnet.it
Biolchini Costruzioni Srl,02856090366,"Via Poggioraso, 3",Sestola,MO,0536 61784,,24,2003,"impresa edile e di costruzioni: rifacimento facciate condomini e case, tinteggiatura pareti esterne, cappotto termico, ristrutturazioni civili e industriali, opere murarie, demolizioni, movimento terra, urbanizzazioni (opera a Modena, Sassuolo, Carpi, Vignola, Maranello, Finale Emilia)",35.8,https://www.biolchinicostruzionisrl.it/,"sito aziendale biolchinicostruzionisrl.it, ufficiocamerale.it, reportaziende.it, fatturatoitalia.it (P.IVA 02856090366, fondata 05/06/2003, ATECO 41.2, 20-49 dipendenti)"
