Denominazione,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Stucchi Sorrentino,"Via Armando Diaz, 115, 22100",Como,CO,031 6690214,,,,"stucchi decorativi in gesso, cornici, colonne, bassorilievi, rosoni, lavorazione del gesso su misura",0,http://www.stucchisorrentino.com/,stucchisorrentino.com / reteimprese.it (P.IVA 03660880133)
Impresa Edile Gregorini,"Via Statale per Lecco, 41, 22100",Como,CO,031 555458 / 335 8393440,,,1987,"opere murarie, ristrutturazioni, manutenzioni, nuove costruzioni",0,https://www.impresaedilegregorini.it/,impresaedilegregorini.it / PagineBianche
D'Apolito Tinteggiature di D'Apolito Domenico,"Via Burgo, 51",Maslianico,CO,+39 347 7452445,dapolitotinteggiature@gmail.com,,,"tinteggiature civili e industriali, verniciature industriali, restauro facciate, imbiancature",4.7,https://dapolitotinteggiature.it/,dapolitotinteggiature.it / registroaziende.it (P.IVA 02679100137)
Gasparini Imbiancature,,Faloppio,CO,,,,1983,"imbiancature, verniciature, stucchi e spatolati (stucco veneziano), restauro facciate, cappotti termici, cartongesso, manutenzioni stabili",7.5,https://gasparini-imbiancature.com/,gasparini-imbiancature.com / Edilnet
Sabbiatura Verniciatura William Ilardi,"Via Boscone, 6",Olgiate Comasco,CO,,,,,"sabbiatura, verniciatura",2.6,,PagineGialle (verniciature industriali provincia di Como)
Edilworks Srls,"Via Oltrona, 23/A, 22075",Lurate Caccivio,CO,335 5950583 / 031 491474,info@edilworks.com,,,"rifacimento e restauro facciate (anche edifici storici), coperture e tetti, lattoneria, ristrutturazioni civili e industriali, pannelli coibentati",3,https://www.edilworks.com/,edilworks.com / PagineBianche
David Decor di Albanese David Imbiancature,"Via Milano, 5, 22070",Luisago,CO,031 929419 / 348 2646553,,,,"imbiancature, cappotti termici, verniciature, decorazioni su misura, cartongesso",3.6,http://www.daviddecor.it/,PagineGialle / daviddecor.it
Impresa Edile Calello Alessio,"Via Claudio Monteverdi, 15, 22063",Cantù,CO,031 2074119 / 335 6346822,,,,"opere murarie, rifacimento tetti, nuove costruzioni, ristrutturazione stabili civili e industriali, manutenzione ordinaria e straordinaria",7.4,,PagineGialle / Edilnet
Comocostruzioni srls,"Corso Unità d'Italia, 10",Cantù,CO,,,,,"opere murarie, carpenteria, posa in opera di manufatti in metallo, legno, plastica e vetro, tinteggiatura",0,,Edilnet / directory imprese edili Cantù
Edilvi Group SRL,,Cantù,CO,,,,,"opere murarie, restauri e ristrutturazioni, edilizia civile e industriale, manutenzione immobili",0,https://www.edilvigroup.com/,edilvigroup.com / PagineGialle
Color Service - Imbianchino Cantù,,Cantù,CO,392 4621273,,,,"imbiancatura, tinteggiatura, verniciatura, cartongesso, decorazioni per privati, uffici e attività commerciali",0,https://imbianchinocantu.it/,imbianchinocantu.it
Isoltek Srl,"Via Don Carlo Gnocchi, 27, 22072",Cermenate,CO,388 9387962,info@isoltek.green,,,"isolamento termico e acustico, insufflaggio pareti, cappotti termici, efficienza energetica",5.4,https://www.isoltek.green/,isoltek.green / PagineGialle
Color2015,"Via Cavolto, 33, 22040",Anzano del Parco,CO,031 631572,,,,"restauro facciate, cappotti termici, coibentazioni, verniciatura civile, cartongesso, manutenzione facciate e balconi",11.9,,PagineGialle / Edilnet
Brambilla Imbiancature S.r.l.s. a socio unico,"Via Lodorina, 19, 22036",Erba,CO,366 2975735 / 331 4210239,,,1970,"imbiancature, tinteggiature interne ed esterne, verniciature, cartongesso, cappotti termici, noleggio piattaforme aeree",4.3,https://www.brambillaimbiancature.com/,brambillaimbiancature.com / PagineBianche
Essebi Imbiancature,"Via Pietro Mascagni, 19, 22036",Erba,CO,375 7460413,,,,"imbiancature civili e industriali, cappotti termici, cartongesso, resine decorative",0,,PagineGialle / PagineBianche
Impresa di Imbiancature e Verniciature Gilardoni Gianluca,"Via Alla Grona, 116/2, 22010",Plesio,CO,,,,,"imbiancature, verniciature, tinteggiature interni ed esterni, tecniche decorative, trattamenti antimuffa",26.5,https://www.gilardoniimbianchino.it/,gilardoniimbianchino.it
