Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Imbianchini F.lli Mancini,,,Pesaro,PU,,,,,"imbiancature, tinteggiature, pittura edile, decorazioni (oltre 30 anni di esperienza)",0,https://mancinipesaro.com/,mancinipesaro.com / WebSearch
Oliva Ermes S.a.s. di Cristian Oliva,,"Via Giuseppe Montanelli, 55",Pesaro,PU,0721 481226 / 339 1713293,,,1970,"tinteggiature e pitture interne/esterne, decorazioni, carte da parati, affreschi digitali, ripristini, cappotti termici (nel settore dal 1970)",0,,paginebianche.it / paginegialle.it (WebSearch)
Tagliabracci Costruzioni,,"Strada di Falcineto, 32",Pesaro,PU,0721 282196,info@tagliabraccicostruzioni.it,,,"opere murarie, costruzioni civili e pubbliche, ristrutturazioni edili",0,https://tagliabraccicostruzioni.it/,tagliabraccicostruzioni.it / WebSearch
Ditta Edile Memedi,,,Pesaro,PU,,,,2002,"imbiancatura, ristrutturazioni edili, opere di finitura per interni ed esterni (impresa familiare)",0,,paginebianche.it / WebSearch
Marchetti Tinteggiature di Marchetti Roberto,,"Strada Nazionale Flaminia, 566",Fano,PU,340 8622230,,,,"tinteggiature interne ed esterne, pitture edili, imbiancature, cartongesso, interventi edili",11.2,https://www.marchettitinteggiature.com/,marchettitinteggiature.com / WebSearch
Edil Bufalo Impresa Edile,,"Via Tolmino, 3",Fano,PU,339 4634242 / 335 8222401,edilbufalo@hotmail.com,,,"opere murarie, ripristino facciate, ristrutturazioni, pavimentazioni, tetti, opere in cemento armato (impresa familiare, oltre 50 anni di esperienza)",0,https://www.edilbufalo.it/,edilbufalo.it / WebSearch
Impresa Edile Omiccioli Giovanni,,"Via Nazionale Flaminia, 159/A",Fano,PU,338 2438228,,,1990,"opere murarie, rifacimento facciate, ristrutturazioni edili, nuove costruzioni, terrazze, pavimenti in resina, lavori chiavi in mano",0,https://www.impresaedileomiccioligiovanni.com/,impresaedileomiccioligiovanni.com / PagineSI (WebSearch)
Gamma S.r.l.,,"Via Roma, 223 (sede operativa: Via U. La Malfa 11/b)",Fano,PU,0721 864101,,,2001,"restauro e ripristino facciate storiche in mattone a vista o con intonaci originali, restauro stucchi e elementi decorativi in pietra, conservazione beni artistici e monumentali, affreschi",0,https://www.gammarestauri.it/,gammarestauri.it / firmania.it (WebSearch)
Fano Pitture di Renzi Massimiliano,,"Via Madonna Mare, 77/B",Fano,PU,,,,2004,"imbiancature, tinteggiature, decorazioni, intonacature, isolamenti termici (cappotti), impermeabilizzazioni, ripristini interni ed esterni",0,,paginegialle.it / paginebianche.it (WebSearch)
PR Group Italia by Colorificio Rama S.r.l.,,,Fano,PU,,,,,"stucchi decorativi in gesso per interni ed esterni, sistemi decorativi, colorificio, pitture e rivestimenti (marchi Arte Gesso, Artex, Colorificio Rama, Ducale)",0,http://prgroupitalia.com/,europages.it / ascompesaro.it (WebSearch)
Il Pittorix,,"Via Cesanense, 102",Mondolfo (Marotta),PU,340 9866167 / 371 4419162,ilpittorix@gmail.com,,,"imbiancature, tinteggiature interni ed esterni, trattamenti antimuffa e umidità di risalita, cartongesso, isolamento a cappotto, ripristini di muratura, finiture decorative",13.4,https://www.ilpittorix.it/,ilpittorix.it / WebSearch
Pavitek S.A.S. di Arena Enzo & C.,,"Via Fornace, 24",Monte Porzio,PU,0721 1798365,sales@pavitek.com,,,"pavimenti in resina civili e industriali, microcemento per interni, poliurea, cemento stampato, impermeabilizzazione terrazzi e coperture",11.7,https://www.pavitek.com,pavitek.com / trovapavimenti.it (WebSearch)
New Color di Alessandro Gangan,,,Fossombrone (Ghilardino),PU,,,,,"tinteggiature, stucchi decorativi, decorazioni, cartongesso, ristrutturazioni",18.9,https://www.newcolorpitturegangan.it/,newcolorpitturegangan.it / WebSearch
VII Edil di Sacchetti Vincenzo,,"Via Mercantini, 5",Fossombrone,PU,389 6166625,,,,"opere murarie, lavori edili, ristrutturazioni",0,,paginebianche.it / WebSearch
Pergolini Paolo Tinteggiature,,"Via Barbanti, 40",Pergola,PU,,,,,"tinteggiature, cartongesso, isolamento termico e acustico, finiture di interni (titolare attivo nel settore dal 1990)",14.1,https://www.pergolinipaolo.it/,pergolinipaolo.it / WebSearch
SCA Società Costruzioni Appalti S.r.l.,,"Via Mazzini, 81",Urbania,PU,0722 318591,info@scacostruzioni.com,,2014,"opere murarie, costruzione di edifici residenziali e non residenziali, ristrutturazioni, appalti edili",27.8,https://www.scacostruzioni.it/,scacostruzioni.it / atoka.io / paginegialle.it (WebSearch)
Tecno Superfici S.A.S. di Melis Michele & C.,,"Strada Carpineta, 9/A",Tavullia,PU,338 5298442,info@tecnosuperfici.com,,,"pavimenti e rivestimenti in resina civili e industriali, superfici continue, ripristini e ristrutturazioni",31.5,https://www.pavimenti-di-resina.com,trovapavimenti.it / pavimentisulweb.it (WebSearch)
L'Arte del Colore di Palazzi Luca & C. S.n.c.,,"Via Feltresca, 81/A",Tavullia (Rio Salso),PU,0721 478194 / 329 4155246,info@lucapalazzi.it,,1998,"tinteggiature, imbiancature, pittura interna ed esterna, cartongesso, cappotti termici, ristrutturazioni edili",0,http://lucapalazzi.it/,edilnet.it / lucapalazzi.it (WebSearch)
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Cantiere Rossini S.p.A.,,Calata Caio Duilio (Porto di Pesaro),Pesaro,PU,,,,2018,"Refit, riparazione, manutenzione e rimessaggio di superyacht; cantiere navale con travel lift e capannoni per verniciatura e lavori strutturali",0,https://www.cantiererossini.com,Sito aziendale cantiererossini.com e stampa nautica di settore (verifica web diretta non disponibile in sessione)
Wider S.r.l.,,,Fano,PU,,,,2010,Costruzione di yacht e catamarani di lusso a propulsione ibrida/elettrica (Wider Yachts); azienda fondata da Tilli Antonelli nel polo nautico di Fano,11.2,https://www.wider-yachts.com,Sito aziendale wider-yachts.com e stampa nautica di settore (verifica web diretta non disponibile in sessione)
Marina dei Cesari S.r.l.,,Lungomare Mediterraneo (Porto di Fano),Fano,PU,,,,,"Porto turistico con cantiere e officina: rimessaggio coperto e scoperto, alaggio e varo con travel lift, manutenzione e riparazione imbarcazioni",0,https://www.marinadeicesari.it,Sito aziendale marinadeicesari.it (verifica web diretta non disponibile in sessione)
Ferretti S.p.A. - Cantiere Pershing di Mondolfo,,"Via Fratelli Lombardi, 2",Mondolfo,PU,,,,1985,"Costruzione di yacht di lusso a motore (brand Pershing, Ferretti Group); stabilimento produttivo storico nato come Cantiere Navale dell'Adriatico",13.4,https://www.pershing-yacht.com,Sito aziendale pershing-yacht.com / Ferretti Group (verifica web diretta non disponibile in sessione)
Filippetti Yacht S.r.l.,,,Mondolfo,PU,,,,,"Costruzione di yacht di lusso a motore (linee Navetta e Sport) e refit; cantiere fondato da Fausto Filippetti, co-fondatore di Pershing",0,https://www.filippettiyacht.com,Sito aziendale filippettiyacht.com e stampa nautica di settore (verifica web diretta non disponibile in sessione)
