Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Scaramagli Borghi & C. S.n.c.,03519260370,Via Nicolò Pisano 54,Bologna,BO,051 532370,,,1942,"imbiancature, tinteggiature tradizionali e finiture speciali (marmorino, velature), stucchi decorativi in gesso, cartongesso e controsoffitti, decorazioni interni, restauro e ripristino facciate, cappotti termici (sistemi di isolamento), rimozione graffiti",0,https://www.scaramagliborghi.it/,sito aziendale scaramagliborghi.it; reteimprese.it; paginegialle.it; P.IVA: scaramagliborghi.it (footer sito ufficiale)
Skizzo Tinteggiature di Emaldi Riccardo,03052651209,Via Alessandro Fleming 7,Bologna,BO,346 3072425,info@imbianchinobologna.net,,,"tinteggiature e verniciature interne ed esterne, imbiancature, decorazioni, imbianchino a Bologna e provincia",0,https://www.imbianchinobologna.net/,sito aziendale imbianchinobologna.net; PagineBianche; Yelp; P.IVA: paginegialle.it (stesso telefono e indirizzo dei contatti di imbianchinobologna.net)
D.Emme (impresa edile),03446281200,Via Niccolò D'Apulia dall'Arca 19/2,Bologna,BO,051 6153799 / 347 4016606,info@demmeristrutturazioni.it,,,"rifacimento facciate condominiali chiavi in mano, restauri edili esterni, opere murarie e ristrutturazioni, opere in cartongesso, trattamenti impermeabilizzanti, demolizioni",0,https://www.demmeristrutturazioni.it/,"sito aziendale demmeristrutturazioni.it; Pagine Gialle; P.IVA: ufficiocamerale.it / fatturatoitalia.it (D.Emme Ristrutturazioni e Costruzioni Srl, Via Dall'Arca 19/2 Bologna); tel: paginebianche.it / cylex-italia.it / reteimprese.it (Via Nicolò Dall'Arca 19/2, Bologna)"
Edil Pinto di Pinto Tommaso,04133140378,Via Laura Bassi Veratti 29/c,Bologna,BO,337 861230,edil.pinto.tommaso@gmail.com,,1992,"ristrutturazione e rifacimento facciate, tetti e coperture, cartongesso, opere murarie, costruzioni, ristrutturazioni e restauri, edilizia residenziale e industriale, opere in cemento armato",0,https://www.edilpinto.it/,sito aziendale edilpinto.it; ufficiocamerale.it (P.IVA 04133140378); reteimprese.it
Roveri Costruzioni S.r.l.,02748271208,Via Provaglia 5,Bologna,BO,051 6257192,info@rovericostruzioni.com,,,"ripristino facciate di abitazioni e condomini, risanamento intonaci ammalorati, pulizia superfici faccia a vista, ristrutturazioni, opere murarie, pavimenti e rivestimenti, coperture",0,https://rovericostruzioni.it/,sito aziendale rovericostruzioni.it; Kompass; reteimprese.it; P.IVA: ufficiocamerale.it / fatturatoitalia.it
Resiniamo,04286690401,Viale Iemenio 101,Bologna,BO,051 0216516,info@resiniamo.com,,,"pavimenti in resina civili e industriali, rivestimenti in resina, progettazione e posa pavimentazioni resina per settore industriale e residenziale",0,https://www.resiniamo.com/,"sito aziendale resiniamo.com (pagina contatti); P.IVA: resiniamo.com (pagina Contatti, Resiniamo Srl sede Bologna)"
Tecnocostruzioni S.r.l.,02621671201,Via Marco Emilio Lepido 128L,Bologna,BO,051 4210945 / 338 2781333,tecnostruzionivozza@gmail.com,,2003,"rifacimento facciate, tinteggiature esterne e interne, isolamento sottotetto, opere murarie, ristrutturazioni bagni e cucine, edilizia civile e industriale, rifacimento tetti",0,https://www.tecnocostruzionibologna.it/,sito aziendale tecnocostruzionibologna.it; Cylex; PagineBianche; P.IVA: impresaitalia.info (Tecnocostruzioni Srl registrata a Bologna); tel: impresaitalia.info / paginebianche.it (P.IVA 02621671201 verificata)
Impresa Edile Malverdi S.r.l.,00306930371,Via Alberto Franchetti 12,Bologna,BO,051 4686111,,meno di 10 (microimpresa),1920,"ristrutturazioni di esterni, rifacimento e copertura facciate e tetti, restauro conservativo, costruzioni, opere murarie, edilizia residenziale e industriale",0,https://www.malverdi.it/,"sito aziendale malverdi.it; atoka.io; Pagine Gialle; P.IVA: informazione-aziende.it (Via Franchetti 12, Bologna)"
Gruppo Edile Emilia S.r.l.s.,03705581209,Via Stalingrado 24,Bologna,BO,051 0568202 / 324 5554886,info@gruppoedileemilia.it,,,"imbiancatura e stuccatura, tinteggiature e verniciature immobili, opere murarie, ristrutturazioni di appartamenti, bagni e cucine, impiantistica",0,https://gruppoedileemilia.it/,"sito aziendale gruppoedileemilia.it; PagineBianche; reteimprese.it; P.IVA: ufficiocamerale.it / fatturatoitalia.it; tel: paginebianche.it / reteimprese.it (Via Stalingrado 24, Bologna)"
S.I.M.E.O. S.r.l.,03230541207,Via dei Macabraccia 8,Casalecchio di Reno,BO,051 19982832,,,,"opere murarie, ristrutturazioni parziali e chiavi in mano, opere edili e impianti integrati (idrotermosanitari, gas, condizionamento) a Bologna, Imola e Casalecchio di Reno",5.8,https://www.simeosrl.it/,sito aziendale simeosrl.it; reportaziende.it (P.IVA 03230541207)
Prestofatto Service di GM,03622391203,Via Cartiera 116,Sasso Marconi,BO,388 6535195,info@prestofatto-service.it,,2017,"imbianchino: tinteggiature e imbiancature di appartamenti, uffici e attività commerciali, tinteggiature interne ed esterne, trattamenti antiumidità, verniciatura infissi, termosifoni e manufatti in ferro, manutenzioni casa",8.8,https://www.prestofatto-service.it/,sito aziendale prestofatto-service.it; registroaziende.it (P.IVA 03622391203)
