Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Sogei Montaggi e Costruzioni S.r.l.,02239870393,"Via Dell'Abbondanza 27, 48124",Ravenna,RA,0544 1882570,,,2006,"cappotto termico, isolamento termico, rifacimento tetti e coperture, ponteggi, costruzioni e lavori specializzati di costruzione",0,https://sogeimontaggicostruzioni.it/,"sito aziendale sogeimontaggicostruzioni.it + ufficiocamerale.it (P.IVA 02239870393, costituita 13/06/2006)"
GER S.r.l.s. (Resine Ravenna),02526790395,"Viale Francesco Baracca 15, 48121 (show room: Via Circonvallazione al Molino 84)",Ravenna,RA,348 4416290 / 338 1050881,ger.ravenna@gmail.com,,,"pavimenti in resina per ambienti civili e industriali, rivestimenti in resina",0,https://www.resineravenna.it/,sito aziendale resineravenna.it (P.IVA 02526790395)
Ditta Siboni Stefano,,,Ravenna,RA,0544 524166 / 339 1575663,,,,"tinteggiatura interni, imbiancature, decorazioni per interni, trattamenti antimuffa",0,https://dittasibonistefano.it/,"sito aziendale dittasibonistefano.it (via risultati di ricerca); tel: paginebianche.it (scheda Siboni Stefano, Via Enrico Pazzi 59 Ravenna)"
Mascanzoni Fabio,,,Ravenna,RA,331 5994575,roby.babini@alice.it,,,"imbiancature, tinteggiature, manutenzione di edifici (ditta individuale con oltre 20 anni di esperienza)",0,https://www.mascanzonifabio.it/,sito aziendale mascanzonifabio.it (via risultati di ricerca)
Stefano Magri Tinteggiature,,,Ravenna,RA,340 6974118,magro78_2009@libero.it,,,"tinteggiature, imbiancature (imbianchino)",0,https://www.stefanomagri.it/,sito aziendale stefanomagri.it (via risultati di ricerca)
Tintart di Vincenzo Marini,,,Ravenna,RA,338 6161427,,9,,"tinteggiature interne ed esterne, imbiancature, ristrutturazioni, isolamento termico (oltre 20 anni di esperienza, squadra di 9 imbianchini)",0,,directory Quotalo.it / ProntoPro (risultati di ricerca)
Gli Artisti del Pennello,,,Ravenna,RA,0544 502393 / 347 4837803,gliartistidelpennello@gmail.com,,,"tinteggiature, imbiancature, isolamento termico a cappotto (EPS, lana di roccia, fibra di legno, PIR, sughero)",0,https://www.gliartistidelpennello.com/,sito aziendale gliartistidelpennello.com (via risultati di ricerca); tel: gliartistidelpennello.it/contatti (Via Faentina 207 Ravenna)
Saro Deco - Decorazioni di pregio,,,Ravenna,RA,,,,,"decorazioni di pregio, stucchi decorativi, rivestimenti e pavimenti in resina, tinteggiature",0,https://www.decoratoreravenna.it/,sito aziendale decoratoreravenna.it (via risultati di ricerca)
Casadio Ferdinando,,Via Ghibuzza 18,Ravenna,RA,,,,,"decorazioni, pittura e verniciatura edile, imbiancature",0,,directory web (risultati di ricerca)
Canestrini Pasquale,,,Ravenna,RA,,,,,"tinteggiature edili, imbiancature",0,,directory web imbianchini Ravenna (risultati di ricerca)
Impresa Edile Selmani S.r.l.,04589050402,"Via Della Merenda 16, 48124",Fornace Zarattini (Ravenna),RA,0544 201141,impresaselmani@gmail.com,,,"opere murarie, ristrutturazioni chiavi in mano, rifacimento facciate, cappotto termico, ristrutturazioni condominiali",4.7,https://impresaedileselmani.it/,sito aziendale impresaedileselmani.it + ufficiocamerale.it (P.IVA 04589050402)
Smart E&C S.r.l.,,,Alfonsine,RA,,,,,"isolamento termico a cappotto, ripristino e recupero facciate, tinteggiature",11.9,,directory Edilnet.it / ImpresediFiducia.it (risultati di ricerca)
Decorlux di Crestani Alberto,,,Bagnacavallo,RA,328 3040729,,,,"tinteggiature, imbiancature, stucchi decorativi (stucco veneziano, mantovano, marmorino, spatolato), velature, pitture con effetti decorativi, cartongesso, isolamento termico e termoacustico, controsoffitti, ristrutturazioni",11.3,https://decorluxpitture.com/,sito aziendale decorluxpitture.com / decorluxpitture.it
Castelli & Caroli & C. S.a.s.,,Via Buozzi 40,Lugo,RA,0545 26181 / 348 7374773,,,,opere di verniciatura e tinteggiatura edile,5.3,,"directory Infoisinfo Lugo; tel: paginebianche.it (Castelli & Caroli & C. Sas, Via Buozzi 40 Lugo)"
Safer,,,Lugo,RA,,,,,"opere murarie, edilizia pubblica e privata, ristrutturazioni, manutenzioni di edifici",0,,risultati di ricerca web (directory imprese edili Lugo)
Impresa Edile Melandri S.n.c.,,"Via Silvio Pellico 2, 48018",Faenza,RA,0546 30455,info@melandrisnc.com,,1951,"opere murarie, restauro conservativo, ristrutturazioni edili, recupero tetti e pavimenti originali, nuove costruzioni",15.2,https://www.melandrisnc.com/,sito aziendale melandrisnc.com
VSP Rivestimenti in Resina,,,Faenza,RA,0546 623064,info@resinapp.it,,,pavimenti e rivestimenti in resina civili e industriali,0,https://www.vsprivestimentiinresina.com/,"sito aziendale vsprivestimentiinresina.com (via risultati di ricerca); tel: edilnet.it / paginegialle.it (V.S.P. Srl, Via Aldrovandi 7/A Faenza)"
Impresa Edile Alpi di Alpi Alberto,,,Brisighella,RA,,,,,"opere murarie, nuove costruzioni, ristrutturazioni edili, piccoli lavori edili",11.3,,risultati di ricerca web (directory imprese edili provincia di Ravenna)
Resjan S.r.l.,02641110396,"Viale Roma 15/E, 48015 (magazzino: Via Beneficio II Tronco 9/C)",Cervia,RA,+39 0544 1674104 / +39 329 6299265,inforesjan@gmail.com,,,"pavimenti in resina industriali (resine epossidiche e poliuretaniche), rivestimenti in resina, rivestimenti anticorrosivi, impermeabilizzazioni, manutenzione pavimenti in resina",45.9,https://www.resjancervia.it/,sito aziendale resjancervia.it + registroaziende.it (P.IVA 02641110396)
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Rosetti Marino S.p.A.,,Via Trieste 230,Ravenna,RA,,,,1925,"Costruzione navale (rimorchiatori, supply vessel, mezzi offshore), riparazione e refitting navale",0,https://www.rosetti.it,Conoscenza pregressa del modello; verifica web non eseguibile (WebSearch esaurito ed egress di rete bloccato nella sessione)
Rosetti Superyachts S.p.A.,,,Ravenna,RA,,,,2017,Costruzione e refit di superyacht e yacht di lusso (brand del gruppo Rosetti Marino),0,https://www.rosettisuperyachts.it,Conoscenza pregressa del modello; verifica web non eseguibile (rete bloccata nella sessione)
Carnevali Yachts (Cantieri Navali Carnevali),,,Ravenna,RA,,,,,"Costruzione di motoryacht flybridge in vetroresina, assistenza e refit",0,,Conoscenza pregressa del modello; verifica web non eseguibile (rete bloccata nella sessione)
Navalmeccanica Ravennate S.r.l.,02217610399,"Via Trieste 885, 48122 Ravenna (sede operativa Via XIII Marzo 1987 n. 3, Porto S. Vitale)",Ravenna (Porto San Vitale),RA,0544 430011,,,,"Officina meccanica navale: riparazione e manutenzione navi, pescherecci d'altura, rimorchiatori e imbarcazioni da diporto a motore; motori endotermici, gruppi elettrogeni, compressori, turbine, pompe",0,http://www.navalmeccanica.ra.it,http://www.navalmeccanica.ra.it ; https://www.ufficiocamerale.it/7869/navalmeccanica-ravennate-srl
Officine Meccaniche Navali O.M.N. S.r.l.,01069530390,"Via Fernando Santi 20, 48123 Ravenna",Ravenna,RA,0544 456900,,,,"Officina meccanica navale: riparazione e manutenzione di motori marini, turbine, pompe, compressori e apparecchiature di bordo",0,http://www.omn.it,https://www.ufficiocamerale.it/5693/officine-meccaniche-navali-omn-srl ; https://aziende.virgilio.it/cantieri-navali/ravenna-ra/officine-meccaniche-navali-o-m-n
Meccanica Navale Romea di Casciello Claudio & C. S.a.s.,01342670393,"Via Achille Grandi 41 (Zona Bassette), 48123 Ravenna",Ravenna,RA,0544 455740,,,,"Assistenza tecnica ed elettronica motori marini da lavoro e diporto; officina autorizzata CAT, John Deere, Daewoo, Lister Petter; revisioni complete motori e generatori, banco prova fino a 500 HP",0,https://www.meccanicanavaleromea.it,https://www.meccanicanavaleromea.it/contatti/ ; https://www.ufficiocamerale.it/3567/meccanica-navale-romea-di-amadori-mauro-c-snc
Euroben Motori Marini S.r.l. (Euroben Diesel),02332520390,"Via della Burchiella 37, Zona S. Vitale, 48122 Ravenna",Ravenna,RA,0544 436023,info@euroben.it,,2009,"Officina motori marini: revisione e manutenzione motori diesel marini; assistenza e ricambi originali Detroit Diesel, Yanmar, Vetus, Technodrive, MTU e Twin Disc",0,http://www.euroben.it,http://www.euroben.it/it/dove-siamo.php ; https://m.fatturatoitalia.it/euroben-motori-marini-srl-02332520390
Officina Bianchi Giovanni,,"Via Alessandro Fortis 7 (Zona Bassette), 48123 Ravenna",Ravenna,RA,0544 453690,,,,"Officina nautica: riparazione, revisione e installazione motori marini entrobordo e fuoribordo, piedi poppieri, linee d'asse, generatori; rimessaggio motori marini e vendita motori diesel",0,https://www.officinabianchigiovanni.com,https://www.officinabianchigiovanni.com ; https://www.paginebianche.it/scheda/officinabianchigiovanni-ravenna
Carrozzeria Nautica GRL S.r.l.s.,02629160397,"Viale Giotto 7, 48122 Ravenna",Ravenna,RA,0544 275235,,,2019,"Carrozzeria nautica e cantiere: riparazioni e verniciatura imbarcazioni, costruzione imbarcazioni da diporto e sportive (ATECO 30.12)",0,,https://aziende.money.it/aziende/carrozzeria-nautica-grl-srls-societa-a-responsabilita-limitata-semplificata-02629160397 ; https://www.paginegialle.it/ravenna-ra/cantieri-navali/carrozzeria-nautica-grl-s-r-l-s-societa-a-responsabilita
Marinara S.r.l. - Porto Turistico Marina di Ravenna,,,Marina di Ravenna,RA,,,,,"Porto turistico con rimessaggio imbarcazioni, alaggio/varo con travel lift e area cantiere per manutenzioni",9,,Conoscenza pregressa del modello; verifica web non eseguibile (rete bloccata nella sessione)
Cantiere Orioli S.r.l.,02023200393,"Via del Marchesato 23, 48122 Marina di Ravenna",Marina di Ravenna,RA,0544 530324,,,1946,"Cantiere nautico: refit e riparazione yacht, costruzione imbarcazioni da diporto, manutenzione; leader italiano nel refit yacht, attività familiare di maestri d'ascia dal 1946",0,https://cantiereorioli.it,https://cantiereorioli.it ; https://www.ufficiocamerale.it/1051/cantiere-orioli-srl
Dellapasqua DC International Yachts S.r.l.,02448610390,"Via del Marchesato 11, 48122 Marina di Ravenna",Marina di Ravenna,RA,0544 530243,,,1959,"Cantiere nautico storico: costruzione motoryacht a marchio DC, rimessaggio (60-70 barche al coperto), refitting, alaggio e varo fino a 45 t; 8.000 mq di cui 4.000 coperti",0,https://www.dellapasquadc.com,https://www.dellapasquadc.com/index.php/it/content/view/b0f9929d6i/contatti ; https://www.mondobarcamarket.it/cantiere-dellapasqua-dc-dal-1959-la-storia-della-cantieristica-italiana/
Marina Boat Service S.r.l.,02605810395,"Via Marinara 41, 48122 Marina di Ravenna",Marina di Ravenna,RA,0544 531000,,,,"Cantiere nautico presso il porto turistico Marinara (già Ravenna Boat Service / Cantiere Nautico Adriatico): riparazioni vetroresina, trattamenti osmosi, verniciatura scafi, manutenzione motori, rimessaggio; area lavori 6.000 mq, travel lift da 100 t",0,https://marinaboatservicesrl.it,https://marinaboatservicesrl.it ; https://www.ufficiocamerale.it/1117/marina-boat-service-srl
Officine Carnevali S.r.l. (Carnevali Yachts Service),02571870399,"Via del Marchesato 9, 48122 Marina di Ravenna",Marina di Ravenna,RA,0544 538768,,,,"Rimessaggio, refitting, restauro e riparazione imbarcazioni in vetroresina e legno (carrozzeria nautica tradizionale e boat wrapping); società di servizi collegata al cantiere Carnevali",0,https://www.carnevaliservice.com,https://www.carnevaliservice.com ; https://www.paginebianche.it/ravenna/officine-carnevali.11690213
Cantiere Navale De Cesari S.r.l.,,,Porto Corsini (Ravenna),RA,,,,,Costruzione e riparazione di navi (piccole navi cisterna e unità mercantili),2,,Conoscenza pregressa del modello; verifica web non eseguibile (rete bloccata nella sessione)
Cantiere Nautico Oltre S.r.l. (Oltremarine),,"Via Molo Gaetano Sanfilippo 5/7, 48123 Porto Corsini, Ravenna",Porto Corsini (Ravenna),RA,0544 1650091,info@oltremarine.it,,,"Cantiere nautico: riparazioni vetroresina, verniciatura, riparazione motori marini, assistenza e rimessaggio imbarcazioni",0,https://www.oltremarine.it,https://www.oltremarine.it/index.php/contatti ; https://www.tuttiaffari.com/cantiere-nautico-oltre-srl-0544-165-0091
