Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Imbianchino Cavallari,01003810387,"Via Savonarola, 18 - 44121",Ferrara,FE,0532 205548 / 335 5246620,,,,"tinteggiature interni ed esterni, imbiancature, stucchi, cartongesso, verniciature edili, manutenzioni edili civili e industriali",0,https://www.imbianchinocavallari.it,"sito aziendale imbianchinocavallari.it, PagineBianche, tellows.it; P.IVA: sito ufficiale imbianchinocavallari.it (contatti/footer)"
Storari Marco Tinteggiature,01915640385,"Via Cavallari, 4 - 44124",Ferrara,FE,+39 334 1232762,,,,"tinteggiature, imbiancature, decorazioni murali, stucchi veneziani, trattamenti antimuffa, isolamento termico, cartongesso",0,https://www.imbianchinoferrara.it,"sito aziendale imbianchinoferrara.it, Quotalo.it, visura.pro (P.IVA 01915640385)"
Juri Color,,,Ferrara,FE,,,,,"tinteggiature interni ed esterni, imbiancature, opere in cartongesso, decori",0,https://www.juricolor.it,sito aziendale juricolor.it (via risultati di ricerca)
Andrea Tassinati - Imbianchino Ferrara,,"Via Chailly, 7/A - 44124",Ferrara,FE,338 6356715,,,,"imbiancature, tinteggiature interni ed esterni, opere in cartongesso",0,http://www.imbianchinoferrara.com,"sito aziendale imbianchinoferrara.com, Pagine Gialle"
Baroni Ermanno di Baroni Manuele Tinteggiature e Decorazioni,01727580381,"Via Viazza, 57 - 44123",Ferrara,FE,0532 829731 / 340 2365281 / 320 5503107 / 340 2365281,,,,"tinteggiature interni ed esterni, imbiancature, opere in cartongesso, pavimenti decorativi in resina",0,https://www.imbianchinoferrara.net,"PagineBianche, sito aziendale imbianchinoferrara.net (attiva da oltre 30 anni); P.IVA: paginegialle.it / misterimprese.it (scheda Via Viazza 57, Ferrara); tel: paginegialle.it / paginebianche.it (scheda Baroni Ermanno di Baroni Manuele, Via Viazza 57 Ferrara)"
Edil360 Srl,,,Ferrara,FE,,,,2015,"ristrutturazioni edilizie, cappotti termici, rifacimento coperture/tetti, impermeabilizzazioni, tinteggiature",0,https://www.edil360srl.it,sito aziendale edil360srl.it
FLO Edilizia Generale & Ponteggi S.r.l.,01883790386,"Via dell'Indipendenza, 22 - 44123",Ferrara,FE,329 0348484,floediliziagenerale@gmail.com,,,"edilizia generale, opere murarie, ponteggi, imbiancature, tinteggiature, cappotti termici, ristrutturazioni interni ed esterni",0,https://www.ristrutturazionetettiferrara.it,"sito aziendale ristrutturazionetettiferrara.it, Reteimprese, ufficiocamerale.it (P.IVA 01883790386, ATECO 43.35, fatturato 2023 tra 3 e 6 mln euro)"
Bellini & Blo S.n.c.,00394830384,"Corso Porta Po, 134 - 44121 Ferrara; sede legale Via Vigarano, 184 - 44012 Bondeno",Ferrara (sede legale Bondeno),FE,0532 56650 / 345 4305185,bellinieblosnc@gmail.com,,,"imbiancature, tinteggiature, ristrutturazione e pulizia facciate, isolamento termico a cappotto, ristrutturazioni edilizie, opere murarie",0,https://bellinieblo.it,"sito aziendale bellinieblo.it, PagineBianche, CNA Ferrara (40 anni di esperienza); P.IVA: impresaitalia.info / edilnet.it (sede legale Via Vigarano 184, Bondeno FE)"
Navarra Mauro Stucchi Decorativi,,"Via Giovanni Bulgarelli, 74 - 44100",Ferrara,FE,+39 0532 94446,,,,stucchi decorativi,0,,Reteimprese.it
Geostrutture Restauri Srl,02032490381,"Via Borgo dei Leoni, 21 - 44121",Ferrara,FE,0532 863303,info@geo-strutture.com,,,"restauro e ripristino facciate, restauro monumentale edifici storici, risanamento conservativo, intonaci, stucchi e soffitti decorati, elementi lapidei",0,https://restauri.geo-strutture.com,"sito aziendale restauri.geo-strutture.com, Empresite/informazione-aziende (P.IVA 02032490381, fatturato 2024 tra 300 e 600 mila euro); tel: restauri.geo-strutture.com (pagina contatti) / cnafe.it — sede operativa Copparo, sede legale Ferrara"
