Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Imbiancature Pedroli Camillo,,"Viale Tonale, 20",Lecco,LC,0341 254814,camillopedroli@gmail.com,,,"imbiancature interne, tinteggiature esterne, ripristino facciate, isolamenti a cappotto, isolamenti interni, stucchi, verniciature, manutenzione stabili",0,https://www.imbiancaturepedroli.it/,imbiancaturepedroli.it / PagineGialle / Virgilio
Frigerio Agostino Costruzioni Srl (F.A. Costruzioni Srl),,"Via Leonardo da Vinci, 10",Lecco,LC,0341 201208,,,1990,"opere murarie, costruzione e ristrutturazione edifici civili e industriali, rifacimento facciate esterne, manutenzione ordinaria e straordinaria",0,http://facostruzioni.it/,facostruzioni.it / PagineBianche / Ufficio Camerale
Reba Srl,03347660130,"Corso Emanuele Filiberto, 16/A",Lecco,LC,,,,2012,"opere murarie, ristrutturazioni interne ed esterne, imbiancature, verniciature, rivestimenti decorativi, isolamenti termici a cappotto, cartongesso, manutenzione stabili",0,https://www.reba-srl.it/,reba-srl.it / Kompass / ReportAziende (P.IVA 03347660130)
Secchi Marco Imbiancature,,,Lecco,LC,340 5489280,infosecchimbiancature@gmail.com,,,"imbiancature, finiture interne ed esterne, stucchi decorativi, stucco veneziano (grassello di calce), spatolato lucido, verniciature, pavimenti e rivestimenti in resina, cartongesso, decorazioni d'interni",0,https://www.decorazionedinterni.com/,decorazionedinterni.com / Facebook
Aeffe Tinteggiature di Anghileri Filippo,03956590131,"Piazza Giosuè Carducci, 4/a",Lecco,LC,331 9949557,info@aeffetinteggiature.it,,,"tinteggiature interne ed esterne, imbiancature, decorazioni, verniciature, restyling di interni",0,http://www.aeffetinteggiature.it/,aeffetinteggiature.it / Ufficio Camerale (P.IVA 03956590131)
Sacco Imbiancature Verniciature e Stucchi Decorativi,,,Lecco,LC,,,,,"imbiancature, verniciature, stucchi decorativi",0,,Facebook / PagineGialle stucchi decorativi Lecco
Rossi Ivo Imbiancature,,"Via Pertus, 2/B",Calolziocorte,LC,335 5332927,,,,"imbiancature civili e industriali, tinteggiature, rivestimenti, stucchi, cartongesso",6.7,https://www.rossiivoimbiancature.it/,rossiivoimbiancature.it / PagineBianche / Infobel
Edilmaver Imbiancature Verniciature Stucchi,,,Calolziocorte,LC,0341 633026,,,,"imbiancature, verniciature, stucchi",0,,elenco telefonico telefono.click / directory Lecco
Milesi Imbiancatura e Verniciatura Srl,,"Via Concordia, 33",Olginate,LC,0341 420317,virgilio.milesi@libero.it,,,"imbiancature, verniciature, tinteggiature, rifacimento facciate, cartongesso, manutenzione ordinaria e straordinaria di edifici privati e industriali, risparmio energetico su involucri esterni",1.7,https://www.milesisrlimbiancatura.it/,milesisrlimbiancatura.it / PagineGialle / Virgilio
Imbiancature Lecco di Elia Filippo,,"Via Cesare Cantù, 51/b",Olginate,LC,347 9438813,filippo.elia@yahoo.it,,,"imbiancature interne ed esterne, tinteggiature, decorazioni, verniciature, cartongesso",0,https://imbiancaturelecco.it/,imbiancaturelecco.it / Cylex
Isolcalor Srl,,"Via Libero Grassi, 35",Olginate,LC,0341 605239,,,,"isolamenti termoacustici, isolamento termico, tramezzi e pareti divisorie, controsoffitti in cartongesso e fibra minerale, impermeabilizzazioni",0,,PagineBianche / PagineGialle / Europages / Kompass
Piantanida Costruzioni Srl,,"Via Per Galbiate, 11",Oggiono,LC,0341 576095,info@piantanidacostruzioni.it,,,"opere murarie, edilizia civile e industriale, ristrutturazioni, rifacimento tetti, manutenzione edifici produttivi",5,https://www.piantanidacostruzioni.it/,piantanidacostruzioni.it / PagineGialle / Kompass
BPS di Zaffarano Loris,,,Molteno,LC,,,,,"imbiancature, cartongesso, opere in gesso, finiture di qualità per case e uffici",3.6,,directory imbianchini provincia di Lecco (PagineBianche/PGCasa)
Motto Imbiancature Srl,,"Via Leonardo da Vinci, 54",Barzanò,LC,335 8351372,,,,"imbiancature, tinteggiature interne ed esterne di edifici pubblici, privati e industriali, isolamenti termici a cappotto, resine per pavimenti e pareti, stucco veneziano, cartongesso, decorazioni",4.8,https://www.mottoimbiancature.com/,mottoimbiancature.com / PagineBianche / Europages
Valerio Baldo Imbiancature e Decorazioni,,"Via Madonnina, 25",Missaglia,LC,335 5881073,,,,"imbiancature civili, tinteggiature, decorazioni, stucchi, pavimenti in resina, carte da parati, cartongesso, pitture antibatteriche",3.4,https://www.valeriobaldoimbiancatureedecorazioni.it/,valeriobaldoimbiancatureedecorazioni.it / PagineGialle
Fratelli Pizzagalli Snc,,"Via San Francesco d'Assisi, 11/A",Casatenovo,LC,039 9203535,,,,"imbiancature, tinteggiature, rifacimento facciate, ripristino cemento armato, cappotti termici, finiture interne ed esterne",2.1,https://fratellipizzagalli.it/,fratellipizzagalli.it / PagineBianche
Impresa Edile Montanelli Srl,02153880139,"Via Giovan Battista Vico, 6",Casatenovo,LC,,,,,"opere murarie, ristrutturazioni complete, nuove costruzioni, cappotto termico, rifacimento tetti, tramezzi, sabbiature, posa mattoni a vista",0,https://www.impresaedilemontanelli.com/,impresaedilemontanelli.com / Edilnet / Aziende.it (P.IVA 02153880139)
Oliverio Costruzioni,,"Via II Giugno, 1",Merate,LC,,,,,"opere murarie, ristrutturazioni, riqualificazione energetica, cappotti e facciate, tetti, isolamenti, tinteggiature, manutenzioni, nuove costruzioni",8.4,http://www.oliveriocostruzioni.it/,oliveriocostruzioni.it / Habitissimo
Impresa Valagussa Srl,,"Via XXV Aprile, 132",Merate,LC,039 9901465,,,,"opere murarie, costruzioni e ristrutturazioni civili e industriali, restauro architettonico, pavimentazioni industriali, fognature, demolizioni",0,,PagineBianche / Virgilio / ristrutturazioni.com
Conca Srl,,"Via San Zenone, 1",Mandello del Lario,LC,0341 731118,,,,"pavimenti in resina (epossidica, poliuretanica, cementizia), rivestimenti, posa pavimenti, ristrutturazioni e opere edili",25.3,https://www.concasrl.it/,concasrl.it / PagineGialle / Comune di Mandello del Lario
