Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Impresa Nar't,,"Via Zanachi, 55",Pavia,PV,392 5651719,,,,"tinteggiature interni ed esterni, imbiancatura, stucco veneziano, effetti decorativi (spatolati, effetto marmo), decorazioni",0,https://www.nartdeco.it/,nartdeco.it / PagineGialle
Aurora S.r.l.,,"Via Vicenza, 3",Pavia,PV,339 7512128,germanoedilizia2021@libero.it,,,"opere murarie, intonaci, stucchi, posa rivestimenti, rifacimento facciate e tetti, ristrutturazioni civili e industriali",0,https://www.aurorasrl-pavia.it/,aurorasrl-pavia.it / PagineBianche
Impresa Dedi - Costruzioni e Ristrutturazioni,,"Viale Cremona, 141",Pavia,PV,0382 474760 / 329 2774590,,,,"opere murarie, costruzioni edili, ristrutturazioni, rifacimento tetti e coperture, rifacimento bagni",0,https://www.impresaedilededi.it/,impresaedilededi.it / PagineBianche
Criaco F. Multiservizi,,"Via Paride Razzini, 3",Pavia,PV,0382 422862 / 338 5439490,,,,"tinteggiature e verniciature al quarzo, traspiranti e lavabili, velatura e spugnatura, imbiancatura interni ed esterni, multiservizi",0,https://www.multiservizicriaco.it/,multiservizicriaco.it / PagineGialle
Costruzioni Istrefi,,,Pavia,PV,,,,,"rivestimento a cappotto, isolamento termico e acustico, intonaci, impermeabilizzazioni, opere murarie, ristrutturazioni tetti e case",0,,Edilnet.it
DA.MA Imbiancatura,,"Strada Tanaro, 17",Travacò Siccomario,PV,347 4936932 / 338 8435319,damaimbiancatura@libero.it,,,"imbiancatura, tinteggiature, verniciature, decorazioni murali, stucchi decorativi, marmorini, terre fiorentine, trattamenti antimuffa e antiumidità",3.4,https://www.damaimbiancatura.it/,damaimbiancatura.it / PagineGialle
FL Srl di Francesco Lamuraglia,,"Via Perlasca, 12",Vellezzo Bellini (fraz. Giovenzano),PV,,info@flsrl.eu,,,"pavimenti in resina civili e commerciali, pareti e rivestimenti in resina, decorazioni su superfici in resina",12.8,https://www.flsrl.eu/,flsrl.eu
Imbianchino Roberto Barbonaglia,,,Gambolò / Mortara,PV,,,,,"imbiancatura, tinteggiatura e verniciatura pareti e infissi, decorazioni murali, piccole ristrutturazioni",19.8,,PagineGialle
Impresa Edile Garavaglia Paolo,,"Strada Castellaro, 15",Mede,PV,335 6003279 / 393 5180060,,,,"opere murarie, ristrutturazioni edili, tinteggiature interne ed esterne, rifacimento tetti, movimento terra",19.8,https://www.impresaedilegaravaglia.it/,impresaedilegaravaglia.it / PagineGialle
Luigi Ventra Imbiancatura e Tinteggiatura,,"Strada Torrazza Coste, 5",Voghera,PV,342 3574906,diego2895@live.it,,,"imbiancatura, tinteggiature interni ed esterni, decorazioni, posa carta da parati, cartongesso",24.3,https://www.luigiventraimbiancature.it/,luigiventraimbiancature.it / PagineGialle
Color Design,,"Via Giovanni XXIII Papa, 24",Voghera,PV,0383 920185,,,,"imbiancatura, tinteggiature civili e commerciali, cartongesso, resine, vendita pitture e vernici",0,https://www.colordesign17.it/,colordesign17.it / elenchitelefonici.it
F.lli Santangelo Decoratori,,"Via Giuseppe Pacchiarotti, 19",Voghera,PV,0382 467217,,,,"tinteggiature, verniciature, decorazioni, tappezzeria; esperienza familiare trentennale in tutta la provincia di Pavia",0,,PagineGialle / reteimprese.it
Fabio Santangelo Decoratore,,"Via Bassi, 21",Voghera,PV,335 1015420 / 366 2290648,,,,"imbiancatura, tinteggiature, decorazioni pittoriche",0,,operis.it / PagineGialle
Lu.Sa Restauri Srl (Lu.sa Srl),02265040184,"Strada Pavese, 27",Broni,PV,0385 49678 / 333 3376273,info@lusarestauri.it,16-19,,"ripristino e restauro facciate, restauro conservativo e decorativo, cappotti termici, sabbiature, ripristino edifici storici e moderni",21,https://lusarestauri.eu/,lusarestauri.eu / fatturatoitalia.it (P.IVA 02265040184)
Zerbin Giovanni,,,Stradella,PV,,,,,"imbiancature, tinteggiature, decorazioni; esperienza trentennale nel settore",3.6,,PagineBianche / Virgilio
SF Costruzioni,,"Via Stradella, 4",Portalbera,PV,0385 251630 / 347 4340030 / 340 8355149,info@sfcostruzioni.com,,,"cappotti termici (isolamento a cappotto), costruzioni, ristrutturazioni, manutenzioni edili, opere murarie",2.7,https://www.sfcostruzioni.com/,sfcostruzioni.com
Gloria Imbiancatura,,"Largo A. D'Aosta, 12",Robbio,PV,,,,,"imbiancature, tinteggiature edili per interni ed esterni",61,,PagineGialle
