Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Tinteggiature Noveri Alberto,01244430334,"Corso G. Garibaldi, 97 - 29121",Piacenza,PC,0523 334124,,,,"tinteggiature di interni ed esterni, imbiancature, finiture e decorazioni personalizzate, stucchi decorativi (antichizzati, damascati, vellutati), pavimenti e rivestimenti in resina, cartongesso, carta da parati",0,https://www.noveri.it,"sito aziendale noveri.it, Pagine Gialle, Virgilio, Cylex (oltre 60 anni di attività); P.IVA: paginebianche.it / paginegialle.it"
Impresa Imbiancatura SMM di Michele,01604470334,"Via Bernardo Morando, 4 - 29122",Piacenza,PC,+39 328 6038388,michelesmm@libero.it,,,"imbiancatura, tinteggiature interni ed esterni, opere murarie, ristrutturazioni parziali e complete, cartongesso",0,https://smmdimichele.it,"sito aziendale smmdimichele.it, Pagine Gialle, Cylex; P.IVA: cylex-italia.it / paginegialle.it"
Francesco L'Imbianchino (Rani Francesco),01494450339,"Via Ferruccio Tansini, 5 - 29122",Piacenza,PC,338 4490907,danyfra03@yahoo.com,,,"imbiancature, tinteggiature, decorazioni con stucco, stucco veneziano, dorature, cartongesso, controsoffittature",0,https://www.imbianchinoranifrancesco.it,"sito aziendale imbianchinoranifrancesco.it, PagineBianche; P.IVA: paginebianche.it"
M.B.R. Società a Responsabilità Limitata (MBR Servizi),00258470335,"Via Leonardo da Vinci, 45 - 29122",Piacenza,PC,0523 593165,info@mbrservizi.it,,1973,"tinteggiature, finiture e decori, rasature facciate, restauro facciate, nano-cappotti per isolamento termico, manutenzione e riqualificazione di condomini e immobili aziendali, ristrutturazioni",0,https://www.mbrservizi.com,"sito aziendale mbrservizi.com, ufficiocamerale.it (P.IVA 00258470335, iscritta dal 23/10/1973)"
Edildebè,01526770332,"Via Carlo Maruffi, 19 - 29121",Piacenza,PC,0523 874627,,,,"opere murarie ed edili civili, pubbliche e industriali, nuove costruzioni e ristrutturazioni, restauro facciate, applicazione cappotti/rivestimenti, finiture e decorazioni, stucchi su soffitti e pareti, rivestimenti in pietra naturale e ricostruita",0,https://www.edildebe.it,"sito aziendale edildebe.it, Pagine Gialle, Firmania, Reteimprese; P.IVA: reteimprese.it / amministrazionicomunali.it (EDILDEBE' S.R.L.)"
Bagosi Costruzioni,01865990335,"Via Genova, 35 - 29122",Piacenza,PC,331 8235220,,,,"opere murarie, muratura, imbiancatura, cappotto termico, pavimenti e rivestimenti, rifacimento tetti, ristrutturazioni complete, rifacimento bagni",0,https://bagosicostruzioni.com,"sito aziendale bagosicostruzioni.com, Pagine Gialle, 7Link; P.IVA: bagosicostruzioni.com (footer, Bagosi Srls) / fatturatoitalia.it"
Edilizia Fontanella,,"Via IV Novembre, 64 - 29121",Piacenza,PC,0523 325922,info@ediliziafontanella.com,,,"rifacimento e ripristino facciate, cappotto termico esterno, costruzioni residenziali, industriali e sportive, opere murarie, demolizioni, smaltimento amianto",0,https://www.ediliziafontanella.com,"sito aziendale ediliziafontanella.com, Edilnet; tel: paginebianche.it + sito ediliziafontanella.com/contatti"
Impresa Cella Gaetano S.r.l. (Cella S.r.l.),00841080336,"Via Campagna, 60 - 29121",Piacenza,PC,0523 499762,info@impresacella.it,,1880,"opere murarie, edilizia privata, costruzioni e ristrutturazioni complete chiavi in mano",0,https://www.impresacella.it,"sito aziendale impresacella.it, PagineBianche, ristrutturazioni.com; P.IVA: ufficiocamerale.it / fatturatoitalia.it"
Piacekolor,,"Via Don G. Borea, 7 - 29122",Piacenza,PC,0523 452310 / 342 1227339 / 320 9638077,,,,"imbiancatura, tinteggiature, stuccature/rasature per abitazioni e attività commerciali a Piacenza e provincia",0,,"Pagine Gialle; tel: paginebianche.it / virgilio.it (Via Don G. Borea 7, Piacenza)"
Prometal S.r.l.,00596690396,"Via Rogerio, 13 - 29122",Piacenza,PC,335 1252824,,,,"imbiancatura, tinteggiature, verniciature",0,,"Imbianchino24, Pagine Gialle; P.IVA: impresaitalia.info/paginegialle: Prometal Srl (sede legale Ravenna, sede operativa Via Rogerio 13 Piacenza, tel. 335 1252824, sito prometalravenna.it)"
