Pass,Simbolo,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Giornate Operate,Lordo Medio Punti,Lordo Medio Valuta,Spread Mediano Ingresso,Spread P95 Ingresso,Rapporto Lordo Su Spread,Giornate Positive %,Ore Medie Tenuta,Uscite Ora,Uscite Flat,Uscite Stop O Orfane,Notti Attraversate,Lotti Al Minimo,Ora Ingresso,Ore Durata,Lato,Autotest Falliti,Giorni Saltati Spread,InpOraIngresso,InpOreDurata,InpAllowLong,InpAllowShort,InpSLatrMult,InpATRPeriod,InpTPatrMult,InpMaxPositions,InpMaxTradesPerDay,InpMaxSpreadPts,InpFlatAnticipoMin,InpRiskPercent,InpComment,InpMagic,InpVerbose,InpAutoTest
0,D30EUR,211.34,3.84255,1.11626,0.34320,1.55820,0.6151,55,-0.2757,55,392.00,8.38,370.00,400.00,1.059,49.09,4.00,55,0,0,0,0,0,4,-1,0,0,0,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
1,D30EUR,-331.56,-33.15600,0.34199,-0.72640,-2.59782,0.4564,10,-0.1770,10,-3896.00,-29.28,280.00,370.00,13.914,40.00,4.00,10,0,0,0,0,1,4,-1,0,0,1,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
2,D30EUR,-276.05,-6.00109,0.74116,-0.54695,-3.31592,0.5043,46,-0.1403,46,-153.26,-0.95,360.00,410.00,0.426,56.52,4.00,46,0,0,0,0,2,4,-1,0,0,2,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
3,D30EUR,-383.47,-13.22310,0.61910,-0.54810,-5.00000,0.6976,29,-0.2238,29,-129.66,-7.01,360.00,430.00,0.360,41.38,4.00,29,0,0,0,0,3,4,-1,0,0,3,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
4,D30EUR,-204.62,-5.11550,0.89330,-0.28545,-1.78606,0.7145,40,-0.3115,40,-38.00,-0.49,330.00,400.00,0.115,45.00,4.00,40,0,0,0,0,4,4,-1,0,0,4,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
5,D30EUR,-241.31,-6.52189,0.89292,-0.18131,-1.68175,1.3213,37,-0.4274,37,-427.30,-3.22,340.00,410.00,1.257,51.35,4.00,37,0,0,0,0,5,4,-1,0,0,5,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
6,D30EUR,1435.96,46.32129,1.65103,1.60215,8.80094,0.8815,31,-0.4242,31,1595.16,49.05,330.00,770.00,4.834,51.61,4.00,31,0,0,0,0,6,4,-1,0,0,6,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
7,D30EUR,1785.63,54.11000,2.01382,1.72473,9.39760,1.0328,33,-0.7459,33,3980.91,57.13,380.00,430.00,10.476,63.64,4.00,33,0,0,0,0,7,4,-1,0,0,7,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
8,D30EUR,940.83,25.42784,1.37390,0.76613,4.43840,1.2045,37,-0.6007,37,785.95,28.57,270.00,410.00,2.911,56.76,4.00,37,0,0,0,0,8,4,-1,0,0,8,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
9,D30EUR,-681.43,-18.92861,0.75525,-0.38541,-3.66448,1.7615,36,-0.4190,36,-660.00,-15.82,170.00,270.00,3.882,38.89,4.00,36,0,0,0,0,9,4,-1,0,0,9,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
