Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpMagic,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpAllowReverse,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTrailStartR,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMaxSpread,InpVerbose
9,1064.18,2.03088,1.08611,0.87062,2.35571,10.4258,524,-1.0446,-524,-523.78,50,0,0,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
57,1064.18,2.03088,1.08611,0.87062,2.35571,10.4258,524,-1.0446,-524,-523.78,50,0,0,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
10,1235.58,3.80178,1.09609,1.03797,2.37507,10.0209,325,-1.0814,-649,-648.57,0,1,0,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
58,1235.58,3.80178,1.09609,1.03797,2.37507,10.0209,325,-1.0814,-649,-648.57,0,1,0,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
11,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,1,0,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
59,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,1,0,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
12,1471.96,4.52911,1.11627,1.34325,2.81938,9.1419,325,-1.0814,-542,-549.40,0,0,1,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
60,1471.96,4.52911,1.11627,1.34325,2.81938,9.1419,325,-1.0814,-542,-549.40,0,0,1,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
61,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,0,1,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
13,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,0,1,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
62,1471.96,4.52911,1.11627,1.34325,2.81938,9.1419,325,-1.0814,-542,-549.40,0,1,1,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
14,1471.96,4.52911,1.11627,1.34325,2.81938,9.1419,325,-1.0814,-542,-549.40,0,1,1,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
63,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,1,1,1,0,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
15,1197.58,2.28546,1.09755,0.97523,2.64277,10.3595,524,-1.0446,-524,-523.78,50,1,1,1,0,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
64,2689.78,8.27625,1.10598,0.76899,2.25870,22.2108,325,-1.1047,-1045,-1044.98,0,0,0,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
16,2689.78,8.27625,1.10598,0.76899,2.25870,22.2108,325,-1.1047,-1045,-1044.98,0,0,0,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
65,1986.49,4.17330,1.09994,1.17705,2.19844,12.6623,476,-1.0689,-550,-586.84,50,0,0,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
17,1986.49,4.17330,1.09994,1.17705,2.19844,12.6623,476,-1.0689,-550,-586.84,50,0,0,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
66,2689.78,8.27625,1.10598,0.76899,2.25870,22.2108,325,-1.1047,-1045,-1044.98,0,1,0,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
18,2689.78,8.27625,1.10598,0.76899,2.25870,22.2108,325,-1.1047,-1045,-1044.98,0,1,0,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
67,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,1,0,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
19,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,1,0,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
68,4511.96,13.88295,1.23407,2.94647,4.12794,10.3719,325,-1.0768,-853,-852.92,0,0,1,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
20,4511.96,13.88295,1.23407,2.94647,4.12794,10.3719,325,-1.0768,-853,-852.92,0,0,1,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
69,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,0,1,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
21,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,0,1,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
70,4511.96,13.88295,1.23407,2.94647,4.12794,10.3719,325,-1.0768,-853,-852.92,0,1,1,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
22,4511.96,13.88295,1.23407,2.94647,4.12794,10.3719,325,-1.0768,-853,-852.92,0,1,1,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
71,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,1,1,0,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
23,2851.97,5.99153,1.16719,2.14542,3.36642,10.2435,476,-1.0645,-544,-611.95,50,1,1,0,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
72,2970.43,9.13978,1.37886,3.69783,11.58072,6.0271,325,-1.0569,-365,-364.98,0,0,0,1,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
24,2970.43,9.13978,1.37886,3.69783,11.58072,6.0271,325,-1.0569,-365,-364.98,0,0,0,1,1,770101,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
73,2329.60,5.23506,1.30903,2.64679,10.09494,6.8765,445,-1.0424,-357,-357.09,50,0,0,1,1,770151,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,0,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,1
