[SERVER]
Campo,Valore
Broker,Pepperstone Limited
Server,PepperstoneUK-Demo
Conto,62128200
TipoConto,DEMO
Valuta,EUR
OraServer,2026.08.15 14:08:37
OraUltimoTick,2026.08.15 17:08:29
OraGMT,2026.08.15 14:08:37
OraLocalePC,2026.08.15 16:08:37
OffsetServerGMT_min,0
OffsetServerGMT_ore,0.00
OffsetServerGMT_hhmm,+00:00
OraLegalePC,SI
MercatoAperto,NO
SimboliBroker,1722
SimboliMarketWatch,120
TF_Misurato,H1
Filtro,
MisuratoIl,2026.08.15
[SIMBOLI]
Simbolo,Descrizione,Digits,Point,ContractSize,TickValue,TickSize,SpreadPt,TF,BarreTF,PrimaDataTF,BarreD1,PrimaDataD1,Stato
AUDUSD,Australian Dollar vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,3,H1,6716,2025.07.17,280,2025.07.17,COMPLETO
EURUSD,Euro vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,4,H1,22832,2022.12.13,952,2022.12.13,COMPLETO
GBPUSD,Great Britain Pound vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,3,H1,22524,2023.01.02,939,2023.01.02,COMPLETO
USDCHF,US Dollar vs Swiss Franc,5,0.00001000,100000.00,0.00000,0.00001000,5,H1,22523,2023.01.02,939,2023.01.02,COMPLETO
USDJPY,US Dollar vs Japanese Yen,3,0.00100000,100000.00,0.00000,0.00100000,7,H1,22524,2023.01.02,939,2023.01.02,COMPLETO
USDCAD,US Dollar vs Canadian Dollar,5,0.00001000,100000.00,0.00000,0.00001000,4,H1,3864,2026.01.02,161,2026.01.02,COMPLETO
AUDNZD,Australian Dollar vs New Zealand Dollar,5,0.00001000,100000.00,0.00000,0.00001000,14,H1,312,2026.07.29,13,2026.07.29,COMPLETO
AUDCAD,Australian Dollar vs Canadian Dollar,5,0.00001000,100000.00,0.00000,0.00001000,10,H1,312,2026.07.29,13,2026.07.29,COMPLETO
AUDCHF,Australian Dollar vs Swiss Franc,5,0.00001000,100000.00,0.00000,0.00001000,10,H1,0,-,0,-,da svegliare (server non ha ancora risposto)
[SESSIONI]
Simbolo,Data,PrimaBarra,UltimaBarra,NBarre,TF,Nota
GER40,2024.01.15,-,-,0,M5,da scaricare / nessun dato
GER40,2024.03.20,-,-,0,M5,da scaricare / nessun dato
GER40,2024.04.15,-,-,0,M5,da scaricare / nessun dato
GER40,2024.07.15,-,-,0,M5,da scaricare / nessun dato
GER40,2024.10.15,-,-,0,M5,da scaricare / nessun dato
GER40,2024.10.28,-,-,0,M5,da scaricare / nessun dato
GER40,2024.11.20,-,-,0,M5,da scaricare / nessun dato
GER40,2025.01.15,-,-,0,M5,da scaricare / nessun dato
GER40,2025.03.20,-,-,0,M5,da scaricare / nessun dato
GER40,2025.04.15,-,-,0,M5,da scaricare / nessun dato
GER40,2025.07.15,-,-,0,M5,da scaricare / nessun dato
GER40,2025.10.15,-,-,0,M5,da scaricare / nessun dato
GER40,2025.10.28,-,-,0,M5,da scaricare / nessun dato
GER40,2025.11.20,-,-,0,M5,da scaricare / nessun dato
GER40,2026.01.15,-,-,0,M5,da scaricare / nessun dato
GER40,2026.03.20,-,-,0,M5,da scaricare / nessun dato
GER40,2026.04.15,-,-,0,M5,da scaricare / nessun dato
GER40,2026.07.15,-,-,0,M5,da scaricare / nessun dato
GER40,VERDETTO_DST,-,-,0,-,DATI INSUFFICIENTI
